# 
#                                CLASSICAL CEPHEIDS IN THE MILKY WAY
# 
#                        Pietrukowicz et al. (2021, Acta Astronomica, 71, 205)
# 
#     List updated in April 2024.     Number of classical Cepheids in the list:  3,647
#
# 
#Source              Name                      RA(2000.0)   Dec(2000.0)  RA[deg]     Dec[deg]    l[deg]      b[deg]      Mode(s)  P_F[day]   P_1O[day]  P_2O[day]  P_3O[day]  Bands  OGLE              OGLE-II           OGLE-III          OGLE-IV           ASAS           ASASSN-V             Gaia-DR3             G[mag]
#***************************************************************************************************************************************************************************************************************************************************************************************************************************
GCVS                 CG____Cas                 00:00:59.23  +60:57:32.4    0.246798   60.959002  116.845566   -1.315165  F        4.3654004  0          0          0          GV     -                 -                 -                 -                 -              202111               429385923752386944   10.969
GCVS                 V879__Cas                 00:01:45.95  +62:25:27.3    0.441455   62.424256  117.218785    0.104770  F        3.8785736  0          0          0          GV     -                 -                 -                 -                 -              202734               429945884408637696   13.077
ZTF-DR2              J000158.43+651445.3       00:01:58.43  +65:14:45.2    0.493453   65.245890  117.780672    2.870037  F        2.6488821  0          0          0          Gr     -                 -                 -                 -                 -              -                    432188922485600384   15.701
ZTF-DR2              J000225.42+625049.8       00:02:25.41  +62:50:49.8    0.605885   62.847165  117.373400    0.505593  F        2.8136856  0          0          0          Gr     -                 -                 -                 -                 -              -                    430052537038350976   14.411
ZTF-DR2              J000234.99+650517.9       00:02:34.98  +65:05:17.8    0.645766   65.088288  117.813627    2.703163  F       10.9315041  0          0          0          Gr     -                 -                 -                 -                 -              J000234.99+650517.8  432163221401882240   10.604
GCVS                 EX____Cas                 00:02:41.77  +61:51:39.8    0.674044   61.861069  117.218702   -0.468807  F        4.3054033  0          0          0          GV     -                 -                 -                 -                 -              202447               429890595286480384   12.162
ZTF-DR2              J000401.60+654636.6       00:04:01.60  +65:46:36.6    1.006672   65.776846  118.089386    3.351848  F        4.3761809  0          0          0          Gr     -                 -                 -                 -                 -              -                    432291280141114624   15.344
WISE                 J000705.5+615734          00:07:05.57  +61:57:34.7    1.773206   61.959633  117.745542   -0.464749  F1O      2.0973281  1.4999841  0          0          GV     -                 -                 -                 -                 -              AP3430017            429873900755069440   13.492
GCVS                 BD____Cas                 00:09:51.39  +61:30:50.5    2.464122   61.514037  117.994278   -0.958434  1O       0          3.6515141  0          0          GV     -                 -                 -                 -                 -              202134               429635993926502912   10.459
Gaia-DR3             429182376660681984        00:12:40.01  +60:13:35.1    3.166695   60.226428  118.132244   -2.283513  1O       0          2.8420181  0          0          G      -                 -                 -                 -                 -              -                    429182376660681984    9.907
ZTF-DR2              J001315.35+633611.1       00:13:15.35  +63:36:11.1    3.313955   63.603081  118.703166    1.045264  1O       0          1.7470340  0          0          Gr     -                 -                 -                 -                 -              -                    431470735238640256   14.518
ASASSN-V             J001348.35+640321.0       00:13:48.28  +64:03:20.2    3.451181   64.055624  118.829396    1.484048  1O       0          2.3280179  0          0          GV     -                 -                 -                 -                 -              J001348.35+640321.0  431859790552426240   14.665
GCVS                 BF____Cas                 00:14:03.22  +60:59:10.6    3.513431   60.986264  118.412629   -1.557027  F        3.6302462  0          0          0          GV     -                 -                 -                 -                 -              202329               429562773322439296   12.005
Gaia-DR3             429751442647568640        00:14:03.40  +61:51:26.8    3.514174   61.857438  118.538939   -0.695055  1O       0          0.2402248  0          0          G      -                 -                 -                 -                 -              -                    429751442647568640   14.788
GCVS                 FM____Cas                 00:14:28.24  +56:15:10.5    3.617656   56.252930  117.782582   -6.248774  F        5.8088478  0          0          0          GV     -                 -                 -                 -                 -              212043               422226488141991296    8.798
ZTF-DR2              J001441.48+614020.6       00:14:41.49  +61:40:20.6    3.672884   61.672388  118.586731   -0.888955  1O       0          1.8676671  0          0          Gr     -                 -                 -                 -                 -              -                    429696668921016448   12.677
GCVS                 SY____Cas                 00:15:09.81  +58:25:27.4    3.790869   58.424280  118.185534   -4.112781  F        4.0713300  0          0          0          GV     -                 -                 -                 -                 -              203525               422923956470923008    9.640
GCVS                 V363__Cas                 00:15:14.33  +60:20:25.6    3.809709   60.340458  118.464415   -2.216917  1O2O     0          0.5465885  0.438243   0          GV     -                 -                 -                 -                 -              202171               429162271910068352   10.275
GCVS                 FO____Cas                 00:17:02.50  +60:48:10.1    4.260412   60.802804  118.747120   -1.789162  F        6.7987667  0          0          0          GV     -                 -                 -                 -                 -              202660               429544700100302080   13.632
ZTF-DR2              J001709.29+645514.3       00:17:09.29  +64:55:14.3    4.288710   64.920649  119.307223    2.290451  1O       0          1.9526735  0          0          Gr     -                 -                 -                 -                 -              -                    431981114786121984   14.435
ZTF-DR2              J001850.35+604713.3       00:18:50.35  +60:47:13.3    4.709793   60.787030  118.962599   -1.833238  1O       0          3.3390193  0          0          Gr     -                 -                 -                 -                 -              -                    428814418221845632   13.671
